image,x_mm,y_mm
IMG_2521.jpeg,112.8,40.8
IMG_2522.jpeg,42.8,46.8
IMG_2523.jpeg,144.8,-111.0
IMG_2524.jpeg,45.8,-140.0
IMG_2525.jpeg,-46.0,-95.0
IMG_2526.jpeg,-49.0,-61.0
IMG_2527.jpeg,-52.0,26.8
IMG_2528.jpeg,-94.0,41.8
